TEMP:	MU:	SIGMA:	H:	ERROR:
2.9925	0.969263	1.525	4.23604	0.231905
2.9925	0.851042	1.51318	3.58468	0.203129
2.9925	0.904421	1.39265	2.43202	0.137307
2.9925	1.01353	1.28764	2.45182	0.167617
2.9925	1.1766	1.1414	2.64592	0.155623
2.9925	1.21608	1.1082	2.73948	0.118822
2.9925	1.21276	1.01844	2.09745	0.0880745
2.9925	1.13379	0.999868	1.43887	0.0752307
2.9925	1.01727	1.11249	1.35766	0.0935287
2.9925	0.900746	1.00591	0.429591	0.0499989
2.9925	0.760522	1.08563	0.24841	0.0401889
2.9925	0.590151	1.19218	0.32403	0.0520376
2.9925	0.496367	1.15877	0.0416275	0.0342738
2.9925	0.657721	1.12691	0.153334	0.0407639
2.9925	0.657721	1.12691	0.153334	0.0407639
2.9925	0.733364	1.12255	0.335991	0.050914
2.9925	0.896475	1.04214	0.501301	0.0483028
2.9925	0.96924	1.00422	0.623855	0.0581878
2.9925	1.04493	0.875369	0.395508	0.0421928
2.9925	1.19401	0.73025	0.528673	0.0281681
2.9925	1.33936	0.772232	1.64016	0.055963
2.9925	1.41086	0.622627	1.5456	0.0355363
2.9925	1.53823	0.731992	3.34545	0.0654547
2.9925	1.3926	0.629749	1.43914	0.0413395
2.9925	1.30162	0.778779	1.4009	0.0567985
2.9925	1.18881	0.697	0.423953	0.0316113
2.9925	1.08657	0.767553	0.189733	0.0274218
2.9925	1.0848	0.851108	0.426099	0.0338703
2.9925	1.16636	0.753227	0.480407	0.0287602
2.9925	1.07623	0.817093	0.343193	0.0334568
2.9925	0.949642	0.834761	0.0465612	0.0297877
2.9925	0.786113	0.710237	-0.391018	0.00834258
2.9925	0.690431	0.77708	-0.344218	0.00854625
2.9925	0.531855	0.911362	-0.260843	0.0117977
2.9925	0.501914	0.910609	-0.233665	0.0121628
2.9925	0.40973	0.927788	-0.260247	0.0106852
2.9925	0.460048	1.06408	-0.165629	0.0249657
2.9925	0.48108	1.1482	0.00921269	0.0393545
2.9925	0.601529	1.07599	-0.0288169	0.0345618
2.9925	0.543283	1.0429	-0.138643	0.0196588
2.9925	0.623878	1.13643	0.0985634	0.0345461
2.9925	0.790327	0.993163	0.0711949	0.0428502
2.9925	0.631351	0.879621	-0.281813	0.0112261
2.9925	0.478301	0.780584	-0.264907	0.00617328
2.9925	0.661544	0.7105	-0.375859	0.00572781
2.9925	0.650609	0.726856	-0.35631	0.00604032
2.9925	0.491664	0.809209	-0.267012	0.00857426
2.9925	0.516674	0.686209	-0.242423	0.00821484
2.9925	0.712768	0.700593	-0.398784	0.00413355
2.9925	0.565074	0.602914	-0.268083	0.00527134
2.9925	0.497442	0.546106	-0.126782	0.00725018
2.9925	0.527502	0.592334	-0.209506	0.00660406
2.9925	0.383452	0.495889	0.160972	0.00914697
2.9925	0.383452	0.495889	0.160972	0.00914697
2.9925	0.235382	0.421266	0.768864	0.0194253
2.9925	0.125612	0.54885	0.47085	0.0135476
2.9925	0.166096	0.593586	0.275995	0.0122342
2.9925	0.242115	0.715572	-0.0256518	0.00867041
2.9925	0.130475	0.624787	0.227888	0.0117168
2.9925	0.297412	0.676025	-0.0162434	0.00891944
2.9925	0.154375	0.605175	0.255035	0.0110443
2.9925	0.301948	0.598544	0.105779	0.00982394
2.9925	0.461012	0.74158	-0.231598	0.00635488
2.9925	0.420115	0.62152	-0.0737677	0.00649779
2.9925	0.475894	0.666866	-0.194513	0.0067076
2.9925	0.416686	0.541475	0.0345713	0.00830327
2.9925	0.373736	0.591385	0.0172969	0.00899115
2.9925	0.205261	0.592642	0.232004	0.0119404
2.9925	0.370462	0.624256	-0.0188022	0.00861856
2.9925	0.265121	0.57192	0.219073	0.0118469
2.9925	0.368158	0.685657	-0.0940912	0.00804707
2.9925	0.459716	0.604808	-0.120249	0.00690859
2.9925	0.459716	0.604808	-0.120249	0.00690859
2.9925	0.581818	0.534684	-0.247315	0.00688202
2.9925	0.595653	0.582124	-0.29401	0.00494138
2.9925	0.746337	0.649745	-0.425489	0.00474061
2.9925	0.897205	0.618871	-0.400283	0.00618535
2.9925	0.853068	0.679476	-0.412854	0.0074764
2.9925	0.98778	0.623022	-0.294537	0.00820234
2.9925	0.832225	0.643849	-0.437453	0.00575314
2.9925	0.848346	0.706904	-0.380629	0.0113699
2.9925	0.659191	0.634212	-0.379526	0.00340891
2.9925	0.630463	0.726455	-0.340667	0.0061691
2.9925	0.695482	0.749087	-0.365162	0.00776531
2.9925	0.812386	0.763157	-0.334063	0.0135529
2.9925	0.659728	0.89457	-0.246124	0.0156187
2.9925	0.732407	0.990923	0.0127503	0.0367367
2.9925	0.700064	0.924482	-0.190969	0.0245128
2.9925	0.785067	1.01286	0.10297	0.0383822
2.9925	0.648307	0.970713	-0.126115	0.0299867
2.9925	0.67595	0.906842	-0.217211	0.0175883
2.9925	0.865578	0.772268	-0.273565	0.0143738
2.985	1.04108	0.801316	0.11373	0.0254717
2.985	0.894206	0.783888	-0.202873	0.0187836
2.985	0.784073	0.63926	-0.439737	0.00353851
2.985	0.959406	0.543628	-0.301729	0.00566161
2.985	0.812634	0.557403	-0.402515	0.00482287
2.985	0.724339	0.562372	-0.39402	0.00449806
2.985	0.614728	0.579627	-0.321584	0.00497146
2.985	0.418152	0.593166	-0.0291964	0.00823895
2.985	0.524689	0.74177	-0.275155	0.00492596
2.985	0.578351	0.709787	-0.316415	0.00507408
