#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         453     1.64744     1.77069   0.0187919
         454     1.64472     1.77041   0.0187526
         455     1.64174     1.77013   0.0187135
         456     1.63851     1.76984   0.0186747
         457     1.63504     1.76955   0.0186362
         458     1.63136     1.76925   0.0185979
         459     1.62748     1.76894     0.01856
         460     1.62342     1.76862   0.0185223
         461     1.61921      1.7683    0.018485
         462     1.61485     1.76796   0.0184479
         463     1.61036     1.76762   0.0184112
         464     1.60578     1.76728   0.0183749
         465     1.60111     1.76692   0.0183388
         466     1.59637     1.76655   0.0183031
         467     1.59158     1.76618   0.0182678
         468     1.58676     1.76579   0.0182328
         469     1.58192      1.7654   0.0181981
         470     1.57707       1.765   0.0181638
         471     1.57224     1.76459   0.0181298
         472     1.56743     1.76417   0.0180962
         473     1.56265     1.76375    0.018063
         474     1.55793     1.76331   0.0180301
         475     1.55327     1.76287   0.0179976
         476     1.54868     1.76242   0.0179654
         477     1.54418     1.76196   0.0179335
         478     1.53976      1.7615    0.017902
         479     1.53545     1.76103   0.0178709
         480     1.53125     1.76055   0.0178401
         481     1.52717     1.76006   0.0178096
         482     1.52322     1.75957   0.0177794
         483     1.51941     1.75908   0.0177495
         484     1.51574     1.75857     0.01772
         485     1.51224     1.75806   0.0176907
         486      1.5089     1.75755   0.0176618
         487     1.50574     1.75703   0.0176331
         488     1.50276     1.75651   0.0176046
         489     1.49999     1.75599   0.0175764
         490     1.49742     1.75546   0.0175485
         491     1.49508     1.75493   0.0175208
         492     1.49299      1.7544   0.0174932
         493     1.49114     1.75386   0.0174659
         494     1.48957     1.75333   0.0174387
         495     1.48829     1.75279   0.0174117
         496     1.48732     1.75226   0.0173848
         497     1.48668     1.75172   0.0173581
         498     1.48639     1.75119   0.0173314
         499     1.48646     1.75066   0.0173048
         500     1.48692     1.75013   0.0172782
         501     1.48778     1.74961   0.0172517
         502     1.48907     1.74909   0.0172251
         503     1.49079     1.74858   0.0171985
         504     1.49295     1.74807   0.0171719
         505     1.49556     1.74757   0.0171451
         506     1.49861     1.74708   0.0171183
         507     1.50212      1.7466   0.0170914
         508     1.50606     1.74612   0.0170643
         509     1.51043     1.74566    0.017037
         510     1.51519     1.74521   0.0170096
         511     1.52032     1.74477    0.016982
         512     1.52579     1.74434   0.0169542
         513     1.53156     1.74392   0.0169263
         514     1.53758     1.74352   0.0168981
         515     1.54381     1.74313   0.0168697
         516      1.5502     1.74276   0.0168412
         517      1.5567      1.7424   0.0168124
         518     1.56325     1.74206   0.0167835
         519      1.5698     1.74172   0.0167545
         520      1.5763     1.74141   0.0167253
         521     1.58271      1.7411    0.016696
         522     1.58898     1.74081   0.0166665
         523     1.59507     1.74053    0.016637
         524     1.60095     1.74026   0.0166074
         525     1.60657     1.74001   0.0165777
         526     1.61191     1.73977    0.016548
         527     1.61694     1.73953   0.0165182
         528     1.62163     1.73931   0.0164884
         529     1.62599      1.7391   0.0164586
         530     1.62997     1.73889   0.0164289
         531     1.63359     1.73869   0.0163991
         532     1.63681      1.7385   0.0163694
         533     1.63965     1.73831   0.0163398
         534     1.64209     1.73813   0.0163102
         535     1.64413     1.73796   0.0162806
         536     1.64576     1.73779   0.0162512
         537     1.64699     1.73762   0.0162218
         538     1.64781     1.73745   0.0161925
         539     1.64822     1.73728   0.0161633
         540     1.64821     1.73712   0.0161342
         541     1.64779     1.73695   0.0161052
         542     1.64696     1.73679   0.0160764
         543     1.64572     1.73662   0.0160476
         544     1.64407     1.73645    0.016019
         545       1.642     1.73628   0.0159906
         546     1.63951      1.7361   0.0159623
         547     1.63661     1.73592   0.0159341
         548     1.63331     1.73573   0.0159061
         549     1.62961     1.73554   0.0158783
         550     1.62551     1.73534   0.0158507
         551     1.62103     1.73513   0.0158233
         552     1.61619     1.73491   0.0157961
         553       1.611     1.73469   0.0157692
         554     1.60548     1.73446   0.0157424
         555     1.59967     1.73421   0.0157159
         556      1.5936     1.73396   0.0156897
         557      1.5873      1.7337   0.0156637
         558     1.58083     1.73342   0.0156381
         559     1.57423     1.73314   0.0156127
         560     1.56757     1.73284   0.0155876
         561     1.56089     1.73254   0.0155628
         562     1.55427     1.73222   0.0155384
         563     1.54778     1.73189   0.0155142
         564     1.54147     1.73156   0.0154904
         565     1.53543     1.73121   0.0154669
         566     1.52972     1.73085   0.0154436
         567      1.5244     1.73049   0.0154207
         568     1.51953     1.73012    0.015398
         569     1.51518     1.72974   0.0153756
         570     1.51137     1.72936   0.0153534
         571     1.50817     1.72897   0.0153314
