#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         412     1.02383     1.19047   0.0136712
         413     1.02698     1.19007   0.0136438
         414     1.03016     1.18968   0.0136164
         415     1.03338     1.18931   0.0135888
         416     1.03663     1.18894    0.013561
         417     1.03991     1.18858   0.0135332
         418     1.04321     1.18824   0.0135053
         419     1.04653      1.1879   0.0134773
         420     1.04987     1.18757   0.0134492
         421     1.05321     1.18725   0.0134211
         422     1.05655     1.18694   0.0133928
         423     1.05988     1.18664   0.0133646
         424     1.06318     1.18635   0.0133362
         425     1.06645     1.18607   0.0133078
         426     1.06968     1.18579   0.0132794
         427     1.07285     1.18553   0.0132509
         428     1.07594     1.18527   0.0132224
         429     1.07895     1.18502   0.0131939
         430     1.08186     1.18478   0.0131654
         431     1.08465     1.18455   0.0131369
         432     1.08732     1.18433   0.0131084
         433     1.08985     1.18411     0.01308
         434     1.09222      1.1839   0.0130516
         435     1.09443     1.18369   0.0130232
         436     1.09646     1.18349   0.0129948
         437     1.09831      1.1833   0.0129666
         438     1.09996     1.18311   0.0129384
         439     1.10141     1.18292   0.0129102
         440     1.10264     1.18274   0.0128822
         441     1.10366     1.18256   0.0128542
         442     1.10445     1.18238   0.0128263
         443     1.10502     1.18221   0.0127986
         444     1.10535     1.18203   0.0127709
         445     1.10545     1.18186   0.0127434
         446     1.10533     1.18169    0.012716
         447     1.10498     1.18152   0.0126887
         448      1.1044     1.18135   0.0126615
         449      1.1036     1.18117   0.0126345
         450     1.10258       1.181   0.0126076
         451     1.10135     1.18082   0.0125809
         452     1.09992     1.18064   0.0125544
         453     1.09829     1.18046    0.012528
         454     1.09648     1.18028   0.0125017
         455     1.09449     1.18009   0.0124757
         456     1.09234      1.1799   0.0124498
         457     1.09003      1.1797   0.0124241
         458     1.08757      1.1795   0.0123986
         459     1.08499     1.17929   0.0123733
         460     1.08228     1.17908   0.0123482
         461     1.07947     1.17886   0.0123233
         462     1.07656     1.17864   0.0122986
         463     1.07358     1.17842   0.0122742
         464     1.07052     1.17818   0.0122499
         465      1.0674     1.17795   0.0122259
         466     1.06425      1.1777   0.0122021
         467     1.06106     1.17745   0.0121785
         468     1.05784      1.1772   0.0121552
         469     1.05461     1.17693   0.0121321
         470     1.05138     1.17667   0.0121092
         471     1.04816     1.17639   0.0120866
         472     1.04495     1.17612   0.0120642
         473     1.04177     1.17583    0.012042
         474     1.03862     1.17554   0.0120201
         475     1.03552     1.17525   0.0119984
         476     1.03246     1.17495   0.0119769
         477     1.02945     1.17464   0.0119557
         478     1.02651     1.17433   0.0119347
         479     1.02363     1.17402   0.0119139
         480     1.02083      1.1737   0.0118934
         481     1.01811     1.17338   0.0118731
         482     1.01548     1.17305   0.0118529
         483     1.01294     1.17272    0.011833
         484      1.0105     1.17238   0.0118133
         485     1.00816     1.17204   0.0117938
         486     1.00593      1.1717   0.0117745
         487     1.00383     1.17136   0.0117554
         488     1.00184     1.17101   0.0117364
         489    0.999992     1.17066   0.0117176
         490    0.998282     1.17031    0.011699
         491    0.996723     1.16995   0.0116805
         492    0.995324      1.1696   0.0116622
         493    0.994095     1.16924   0.0116439
         494    0.993049     1.16889   0.0116258
         495    0.992196     1.16853   0.0116078
         496     0.99155     1.16817   0.0115899
         497    0.991122     1.16782    0.011572
         498    0.990926     1.16746   0.0115543
         499    0.990974     1.16711   0.0115365
         500    0.991279     1.16676   0.0115188
         501    0.991855     1.16641   0.0115011
         502    0.992712     1.16606   0.0114834
         503    0.993858     1.16572   0.0114657
         504    0.995298     1.16538   0.0114479
         505    0.997037     1.16505   0.0114301
         506    0.999076     1.16472   0.0114122
         507     1.00141      1.1644   0.0113942
         508     1.00404     1.16408   0.0113762
         509     1.00695     1.16377    0.011358
         510     1.01013     1.16347   0.0113397
         511     1.01355     1.16318   0.0113213
         512     1.01719     1.16289   0.0113028
         513     1.02104     1.16262   0.0112842
         514     1.02506     1.16235   0.0112654
         515     1.02921     1.16209   0.0112465
         516     1.03347     1.16184   0.0112274
         517      1.0378      1.1616   0.0112083
         518     1.04216     1.16137    0.011189
         519     1.04653     1.16115   0.0111697
         520     1.05087     1.16094   0.0111502
         521     1.05514     1.16073   0.0111306
         522     1.05932     1.16054    0.011111
         523     1.06338     1.16035   0.0110913
         524      1.0673     1.16018   0.0110716
         525     1.07104     1.16001   0.0110518
         526      1.0746     1.15984    0.011032
         527     1.07796     1.15969   0.0110121
         528     1.08109     1.15954   0.0109923
         529     1.08399      1.1594   0.0109724
         530     1.08665     1.15926   0.0109526
         531     1.08906     1.15913   0.0109328
         532     1.09121       1.159    0.010913
         533      1.0931     1.15888   0.0108932
         534     1.09473     1.15876   0.0108734
         535     1.09609     1.15864   0.0108537
         536     1.09718     1.15852   0.0108341
         537     1.09799     1.15841   0.0108145
         538     1.09854      1.1583    0.010795
         539     1.09881     1.15819   0.0107755
         540     1.09881     1.15808   0.0107561
         541     1.09853     1.15797   0.0107368
         542     1.09798     1.15786   0.0107176
         543     1.09715     1.15775   0.0106984
         544     1.09604     1.15763   0.0106793
         545     1.09466     1.15752   0.0106604
         546     1.09301      1.1574   0.0106415
         547     1.09108     1.15728   0.0106227
         548     1.08888     1.15715   0.0106041
         549     1.08641     1.15703   0.0105856
         550     1.08367     1.15689   0.0105672
         551     1.08069     1.15675   0.0105489
         552     1.07746     1.15661   0.0105308
         553       1.074     1.15646   0.0105128
         554     1.07032     1.15631   0.0104949
         555     1.06645     1.15614   0.0104773
         556      1.0624     1.15597   0.0104598
         557      1.0582      1.1558   0.0104425
         558     1.05389     1.15562   0.0104254
         559     1.04949     1.15543   0.0104084
         560     1.04504     1.15523   0.0103917
         561     1.04059     1.15503   0.0103752
         562     1.03618     1.15481   0.0103589
